<2015-10-1 2:30:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:30:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:31:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:32:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:33:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:34:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:35:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:36:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
